ORIGIN,AIRLINE,Year,flights,delayed,avg_delay,connections,pct_delayed,AIRPORT,ORIGIN_CITY,STATE,LATITUDE,LONGITUDE
ABE,Allegiant Air,2022,139,30,63.1,"['BNA', 'PIE', 'FLL', 'SFB', 'MYR', 'PGD', 'SRQ']",21.58273381294964,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Endeavor Air Inc.,2022,99,7,106.0,"['ATL', 'DTW']",7.07070707070707,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Envoy Air,2022,39,7,53.57142857142857,['ORD'],17.94871794871795,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,PSA Airlines Inc.,2022,104,8,91.75,['CLT'],7.6923076923076925,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,SkyWest Airlines Inc.,2022,62,8,111.0,"['ATL', 'DTW', 'ORD']",12.903225806451612,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABI,Envoy Air,2022,189,32,95.875,['DFW'],16.93121693121693,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABQ,Alaska Airlines Inc.,2022,52,10,38.8,"['SEA', 'PDX']",19.230769230769234,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Allegiant Air,2022,2,2,28.5,"['LAS', 'AUS']",100.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,American Airlines Inc.,2022,314,66,93.71212121212122,"['ORD', 'PHX', 'DFW']",21.019108280254777,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Delta Air Lines Inc.,2022,107,9,50.44444444444444,"['ATL', 'MSP']",8.411214953271028,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Envoy Air,2022,69,12,50.916666666666664,"['DFW', 'AUS', 'PHX', 'ORD']",17.391304347826086,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Frontier Airlines Inc.,2022,4,1,34.0,"['LAS', 'DEN']",25.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Horizon Air,2022,1,0,,['PDX'],0.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,JetBlue Airways,2022,36,16,76.6875,['JFK'],44.44444444444444,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Mesa Airlines Inc.,2022,77,10,96.3,"['IAH', 'PHX']",12.987012987012985,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Republic Airline,2022,2,0,,['ORD'],0.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,SkyWest Airlines Inc.,2022,408,51,84.66666666666667,"['SFO', 'DEN', 'LAX', 'PHX', 'SLC', 'IAH', 'ORD']",12.5,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Southwest Airlines Co.,2022,819,153,48.43790849673203,"['BUR', 'OAK', 'SAN', 'BWI', 'LAS', 'DEN', 'AUS', 'MDW', 'LAX', 'HOU', 'DAL', 'PHX', 'SAT']",18.681318681318682,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Spirit Air Lines,2022,13,2,63.5,['LAS'],15.384615384615385,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,United Air Lines Inc.,2022,164,24,100.375,"['SFO', 'DEN', 'IAH', 'ORD']",14.634146341463413,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABR,SkyWest Airlines Inc.,2022,72,9,256.55555555555554,['MSP'],12.5,Aberdeen Regional,Aberdeen,SD,45.44905556,-98.42183333
ABY,Endeavor Air Inc.,2022,103,12,74.33333333333333,['ATL'],11.650485436893204,Southwest Georgia Regional,Albany,GA,31.535515,-84.19447333
ACK,Endeavor Air Inc.,2022,44,10,301.1,"['LGA', 'JFK']",22.727272727272727,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,JetBlue Airways,2022,89,24,75.66666666666667,"['LGA', 'BOS', 'HPN', 'DCA', 'JFK']",26.96629213483146,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,Republic Airline,2022,28,5,82.4,"['PHL', 'CLT', 'DCA', 'ORD']",17.857142857142858,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACT,Envoy Air,2022,171,22,51.31818181818182,['DFW'],12.865497076023392,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACT,SkyWest Airlines Inc.,2022,16,5,68.0,['DFW'],31.25,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACV,SkyWest Airlines Inc.,2022,241,28,165.96428571428572,"['LAX', 'SFO', 'DEN', 'PHX']",11.618257261410788,Arcata,Arcata/Eureka,CA,40.97811528,-124.1086189
