ORIGIN,AIRLINE,Year,flights,delayed,avg_delay,connections,pct_delayed,AIRPORT,ORIGIN_CITY,STATE,LATITUDE,LONGITUDE
ABE,Allegiant Air,2020,117,24,137.625,"['SAV', 'BNA', 'MDW', 'PIE', 'FLL', 'SFB', 'MYR', 'PGD', 'SRQ']",20.51282051282051,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Delta Air Lines Inc.,2020,10,0,,['ATL'],0.0,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Endeavor Air Inc.,2020,28,7,147.42857142857142,['ATL'],25.0,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Envoy Air,2020,47,5,36.4,['ORD'],10.638297872340425,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,PSA Airlines Inc.,2020,82,6,100.66666666666667,['CLT'],7.317073170731707,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,SkyWest Airlines Inc.,2020,76,8,207.125,"['DTW', 'ORD']",10.526315789473683,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABI,Envoy Air,2020,163,35,44.285714285714285,['DFW'],21.472392638036812,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABI,SkyWest Airlines Inc.,2020,10,0,,['IAH'],0.0,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABQ,Alaska Airlines Inc.,2020,43,3,77.0,"['SEA', 'SAT', 'PDX']",6.976744186046512,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Allegiant Air,2020,21,3,28.333333333333332,"['LAS', 'SFB', 'AUS']",14.285714285714285,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,American Airlines Inc.,2020,129,18,66.16666666666667,"['ORD', 'PHX', 'DFW']",13.953488372093023,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Delta Air Lines Inc.,2020,42,5,37.6,"['SLC', 'ATL']",11.904761904761903,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Envoy Air,2020,81,6,60.0,"['ORD', 'DFW']",7.4074074074074066,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,ExpressJet Airlines LLC d/b/a aha!,2020,23,5,53.4,"['DEN', 'IAH', 'ORD']",21.73913043478261,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Frontier Airlines Inc.,2020,7,0,,['DEN'],0.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,JetBlue Airways,2020,15,3,80.33333333333333,"['DEN', 'JFK']",20.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Mesa Airlines Inc.,2020,98,10,44.9,"['IAH', 'PHX', 'DFW']",10.204081632653061,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Republic Airline,2020,6,0,,['ORD'],0.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,SkyWest Airlines Inc.,2020,324,26,62.76923076923077,"['PDX', 'SFO', 'DEN', 'LAX', 'PHX', 'DFW', 'SLC', 'IAH', 'ORD']",8.024691358024691,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Southwest Airlines Co.,2020,710,36,44.75,"['OAK', 'SAN', 'BWI', 'LAS', 'MCI', 'DEN', 'AUS', 'SJC', 'MDW', 'LAX', 'MCO', 'HOU', 'DAL', 'PHX', 'SAT']",5.070422535211268,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,United Air Lines Inc.,2020,29,4,45.75,"['DEN', 'IAH', 'ORD']",13.793103448275861,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABR,SkyWest Airlines Inc.,2020,87,4,192.25,['MSP'],4.597701149425287,Aberdeen Regional,Aberdeen,SD,45.44905556,-98.42183333
ABY,Endeavor Air Inc.,2020,49,1,99.0,['ATL'],2.0408163265306123,Southwest Georgia Regional,Albany,GA,31.535515,-84.19447333
ABY,SkyWest Airlines Inc.,2020,37,5,79.0,['ATL'],13.513513513513514,Southwest Georgia Regional,Albany,GA,31.535515,-84.19447333
ACK,Endeavor Air Inc.,2020,5,1,101.0,['LGA'],20.0,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,JetBlue Airways,2020,15,2,224.0,"['LGA', 'BOS', 'DCA', 'JFK']",13.333333333333334,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,Republic Airline,2020,13,0,,"['LGA', 'PHL', 'DCA']",0.0,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACT,Envoy Air,2020,113,11,65.36363636363636,['DFW'],9.734513274336283,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACT,SkyWest Airlines Inc.,2020,18,3,301.3333333333333,['DFW'],16.666666666666664,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACV,SkyWest Airlines Inc.,2020,113,7,264.57142857142856,"['LAX', 'SFO', 'DEN']",6.1946902654867255,Arcata,Arcata/Eureka,CA,40.97811528,-124.1086189
ACY,Spirit Air Lines,2020,168,14,75.92857142857143,"['FLL', 'TPA', 'RSW', 'ATL', 'MCO', 'PBI', 'MYR']",8.333333333333332,Atlantic City International,Atlantic City,NJ,39.45758333,-74.57716667
ADK,Alaska Airlines Inc.,2020,10,6,46.833333333333336,"['ANC', 'CDB']",60.0,Adak,Adak,AK,51.87796389,-176.6460306
ADQ,Alaska Airlines Inc.,2020,52,6,46.333333333333336,['ANC'],11.538461538461538,Kodiak,Kodiak,AK,57.74996778,-152.4938553
AEX,Endeavor Air Inc.,2020,83,4,199.5,['ATL'],4.819277108433735,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,Envoy Air,2020,93,21,76.80952380952381,['DFW'],22.58064516129032,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,ExpressJet Airlines LLC d/b/a aha!,2020,38,4,71.75,['IAH'],10.526315789473683,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,SkyWest Airlines Inc.,2020,15,1,44.0,['IAH'],6.666666666666667,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AGS,Delta Air Lines Inc.,2020,26,1,23.0,['ATL'],3.8461538461538463,Bush,Augusta,GA,33.369955,-81.96449611
AGS,Endeavor Air Inc.,2020,169,14,42.5,['ATL'],8.284023668639055,Bush,Augusta,GA,33.369955,-81.96449611
AGS,Envoy Air,2020,41,7,32.142857142857146,['DFW'],17.073170731707318,Bush,Augusta,GA,33.369955,-81.96449611
AGS,PSA Airlines Inc.,2020,95,16,127.1875,"['CLT', 'DCA']",16.842105263157894,Bush,Augusta,GA,33.369955,-81.96449611
AKN,Alaska Airlines Inc.,2020,19,4,24.0,"['DLG', 'ANC']",21.052631578947366,King Salmon,King Salmon,AK,58.67680167,-156.6492175
ALB,Allegiant Air,2020,37,4,70.5,"['PIE', 'SFB', 'MYR', 'PGD']",10.81081081081081,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,American Airlines Inc.,2020,48,4,45.0,['CLT'],8.333333333333332,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Delta Air Lines Inc.,2020,58,2,44.0,"['ATL', 'DTW']",3.4482758620689653,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Endeavor Air Inc.,2020,67,4,83.5,"['ATL', 'DTW']",5.970149253731343,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Envoy Air,2020,36,1,18.0,['ORD'],2.7777777777777777,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,ExpressJet Airlines LLC d/b/a aha!,2020,2,0,,['EWR'],0.0,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Frontier Airlines Inc.,2020,25,3,117.0,"['RSW', 'MCO', 'DEN']",12.0,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,JetBlue Airways,2020,30,5,40.6,"['FLL', 'MCO']",16.666666666666664,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,PSA Airlines Inc.,2020,32,5,93.8,"['PHL', 'CLT', 'DCA']",15.625,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Republic Airline,2020,44,2,55.0,"['PHL', 'EWR', 'CLT', 'DCA', 'ORD']",4.545454545454546,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,SkyWest Airlines Inc.,2020,74,11,57.81818181818182,"['DTW', 'ORD']",14.864864864864865,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,Southwest Airlines Co.,2020,273,12,37.333333333333336,"['TPA', 'BWI', 'RSW', 'DEN', 'MDW', 'MCO', 'FLL']",4.395604395604396,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALB,United Air Lines Inc.,2020,17,2,82.5,['ORD'],11.76470588235294,Albany Cty,Albany,NY,42.74811944,-73.80297861
ALO,Envoy Air,2020,57,8,124.375,['ORD'],14.035087719298245,Waterloo Municipal,Waterloo,IA,42.55708139,-92.40034361
ALS,SkyWest Airlines Inc.,2020,7,0,,['DEN'],0.0,San Luis Valley Regional/Bergman,Alamosa,CO,37.43491667,-105.8665556
AMA,American Airlines Inc.,2020,6,0,,['DFW'],0.0,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
AMA,Envoy Air,2020,86,12,42.833333333333336,['DFW'],13.953488372093023,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
AMA,ExpressJet Airlines LLC d/b/a aha!,2020,29,0,,['IAH'],0.0,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
AMA,Mesa Airlines Inc.,2020,92,9,65.44444444444444,['DFW'],9.782608695652174,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
AMA,SkyWest Airlines Inc.,2020,24,0,,"['DEN', 'IAH']",0.0,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
AMA,Southwest Airlines Co.,2020,119,3,61.666666666666664,"['LAS', 'HOU', 'DAL']",2.5210084033613445,Amarillo International,Amarillo,TX,35.2193725,-101.7059272
ANC,Alaska Airlines Inc.,2020,1044,79,40.848101265822784,"['JNU', 'HNL', 'OTZ', 'ADQ', 'CDV', 'SEA', 'CDB', 'ORD', 'KOA', 'BET', 'OME', 'BRW', 'DLG', 'LAX', 'OGG', 'ADK', 'FAI', 'SCC', 'PDX', 'AKN', 'PHX']",7.567049808429119,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-149.9961856
ANC,American Airlines Inc.,2020,17,1,835.0,"['ORD', 'DFW']",5.88235294117647,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-149.9961856
ANC,Delta Air Lines Inc.,2020,160,17,72.23529411764706,"['SLC', 'MSP', 'SEA']",10.625,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-149.9961856
ANC,United Air Lines Inc.,2020,32,1,17.0,"['DEN', 'ORD']",3.125,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-149.9961856
APN,SkyWest Airlines Inc.,2020,66,4,94.75,"['PLN', 'DTW']",6.0606060606060606,Alpena County Regional,Alpena,MI,45.0780675,-83.56028583
ASE,SkyWest Airlines Inc.,2020,489,102,106.84313725490196,"['MSP', 'MTJ', 'SFO', 'DEN', 'LAX', 'ATL', 'PHX', 'DFW', 'SLC', 'IAH', 'ORD']",20.858895705521473,Aspen-Pitkin Co/Sardy,Aspen,CO,39.22316,-106.868845
ATL,Alaska Airlines Inc.,2020,47,5,29.0,"['SEA', 'CHS']",10.638297872340425,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,American Airlines Inc.,2020,636,70,66.11428571428571,"['LGA', 'MIA', 'LAX', 'PHL', 'PHX', 'DFW', 'CLT', 'DCA', 'ORD']",11.0062893081761,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Delta Air Lines Inc.,2020,15076,1323,48.281179138321995,"['ROA', 'GNV', 'LAS', 'STL', 'PVD', 'ELP', 'GRB', 'BZN', 'JAX', 'BTV', 'AVP', 'SAN', 'RIC', 'TRI', 'MKE', 'DFW', 'BUF', 'LFT', 'BDL', 'PWM', 'GEG', 'OMA', 'IND', 'BOI', 'ATW', 'EGE', 'SJC', 'ABQ', 'PHL', 'OKC', 'EWR', 'MSY', 'AGS', 'GSO', 'ONT', 'BHM', 'FAR', 'FAY', 'JFK', 'BUR', 'TUS', 'SDF', 'MDT', 'CVG', 'TUL', 'DCA', 'MYR', 'LGA', 'CHS', 'STT', 'RSW', 'MDW', 'BOS', 'TYS', 'COS', 'RNO', 'RDU', 'PNS', 'MSN', 'MOB', 'MCO', 'PHX', 'FSD', 'PSP', 'DTW', 'CHO', 'CID', 'HNL', 'ROC', 'SNA', 'SEA', 'DSM', 'SAV', 'MEM', 'BWI', 'JAN', 'CAE', 'HDN', 'STX', 'FLL', 'IAD', 'IAH', 'SRQ', 'HSV', 'EYW', 'LAX', 'DAY', 'DAL', 'SAT', 'PBI', 'DAB', 'ECP', 'GSP', 'PDX', 'VPS', 'ORF', 'JAC', 'CHA', 'SLC', 'FNT', 'SJU', 'MSP', 'CMH', 'TPA', 'ICT', 'DEN', 'ABE', 'CAK', 'GPT', 'HPN', 'CLT', 'ORD', 'MIA', 'SFO', 'ILM', 'AUS', 'CLE', 'MHT', 'HOU', 'SMF', 'TLH', 'AVL', 'BNA', 'MCI', 'MTJ', 'ANC', 'PIT', 'MLB', 'CRW', 'GRR', 'SYR', 'LIT', 'LEX', 'ALB', 'XNA']",8.775537277792518,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Endeavor Air Inc.,2020,4418,330,58.2969696969697,"['ROA', 'GNV', 'SHV', 'GTR', 'GRB', 'BTV', 'SBN', 'TRI', 'OAJ', 'LFT', 'MLU', 'OMA', 'ATW', 'PIA', 'OKC', 'AGS', 'GSO', 'BHM', 'EVV', 'FAY', 'ELM', 'BMI', 'BQK', 'MLI', 'SDF', 'MDT', 'ABY', 'EWN', 'CSG', 'MYR', 'TUL', 'CHS', 'MDW', 'FWA', 'TYS', 'MSN', 'MOB', 'MGM', 'BTR', 'CHO', 'CID', 'DSM', 'SAV', 'PHF', 'JAN', 'CAE', 'VLD', 'IAD', 'LNK', 'HSV', 'EYW', 'DAY', 'DAL', 'SGF', 'GSP', 'VPS', 'AEX', 'DHN', 'CHA', 'FNT', 'ICT', 'FSM', 'GPT', 'CAK', 'ABE', 'HPN', 'CLT', 'ILM', 'HOU', 'TLH', 'AVL', 'MCI', 'RST', 'PIT', 'CRW', 'MLB', 'LIT', 'LEX', 'ALB', 'XNA']",7.469443186962427,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Envoy Air,2020,6,0,,['ORD'],0.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,ExpressJet Airlines LLC d/b/a aha!,2020,45,2,21.0,"['IAH', 'ORD']",4.444444444444445,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Frontier Airlines Inc.,2020,265,24,77.70833333333333,"['LGA', 'TTN', 'SLC', 'TPA', 'MIA', 'LAS', 'SFO', 'DEN', 'RDU', 'LAX', 'PHL', 'MCO', 'CVG', 'EWR', 'SJU']",9.056603773584905,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,JetBlue Airways,2020,169,26,60.65384615384615,"['FLL', 'MCO', 'BOS', 'JFK']",15.384615384615385,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Mesa Airlines Inc.,2020,111,7,29.0,"['IAD', 'IAH']",6.306306306306306,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,PSA Airlines Inc.,2020,119,20,51.35,"['CLT', 'DCA']",16.80672268907563,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Republic Airline,2020,545,41,61.8780487804878,"['DEN', 'CLT', 'ORD', 'MIA', 'CAE', 'SDF', 'HHH', 'TLH', 'IAD', 'DCA', 'IAH', 'LGA', 'MCI', 'MDW', 'EYW', 'IND', 'MLB', 'GSP', 'LEX', 'PHL', 'EWR', 'XNA']",7.522935779816514,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,SkyWest Airlines Inc.,2020,732,100,72.59,"['ROA', 'GNV', 'FSM', 'AGS', 'DEN', 'SHV', 'FAY', 'GTR', 'GRB', 'ORD', 'BQK', 'ILM', 'SBN', 'TRI', 'VLD', 'ABY', 'CSG', 'IAH', 'FWA', 'MLU', 'CRW', 'ASE', 'PIA', 'MOB', 'DHN', 'MGM', 'CHA']",13.661202185792352,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Southwest Airlines Co.,2020,3031,202,51.48019801980198,"['CMH', 'TPA', 'LAS', 'DEN', 'STL', 'JAX', 'MEM', 'SAN', 'BWI', 'RIC', 'SDF', 'AUS', 'CLE', 'MKE', 'HOU', 'FLL', 'IAD', 'DCA', 'LGA', 'OAK', 'BNA', 'RSW', 'MCI', 'MDW', 'LAX', 'DAL', 'SAT', 'PBI', 'OMA', 'PIT', 'IND', 'GSP', 'LIT', 'RDU', 'PHL', 'MCO', 'OKC', 'PHX', 'MSY']",6.664467172550313,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,Spirit Air Lines,2020,646,66,69.45454545454545,"['MSP', 'BOS', 'DTW', 'TPA', 'BWI', 'LAS', 'IAH', 'EWR', 'AUS', 'CLE', 'LAX', 'PHL', 'MCO', 'ACY', 'DFW', 'FLL', 'MSY', 'ORD']",10.21671826625387,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATL,United Air Lines Inc.,2020,219,22,65.36363636363636,"['SFO', 'DEN', 'EWR', 'IAD', 'IAH', 'ORD']",10.045662100456621,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
ATW,Allegiant Air,2020,66,8,67.375,"['BNA', 'LAS', 'PIE', 'SFB', 'PGD', 'AZA']",12.121212121212121,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATW,Delta Air Lines Inc.,2020,13,4,54.75,['ATL'],30.76923076923077,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATW,Endeavor Air Inc.,2020,121,7,79.71428571428571,"['ATL', 'MSP', 'DTW']",5.785123966942149,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATW,Envoy Air,2020,71,4,40.0,['ORD'],5.633802816901409,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATW,Republic Airline,2020,7,0,,['CLT'],0.0,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATW,SkyWest Airlines Inc.,2020,59,4,73.25,"['MSP', 'DTW']",6.779661016949152,Outagamie County Regional,Appleton,WI,44.25740806,-88.51947556
ATY,SkyWest Airlines Inc.,2020,50,5,54.8,"['DEN', 'ORD']",10.0,Watertown Municipal,Watertown,SD,44.91398056,-97.15471944
AUS,Alaska Airlines Inc.,2020,120,9,53.55555555555556,"['SAN', 'PDX', 'SFO', 'SJC', 'SEA']",7.5,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Allegiant Air,2020,51,7,45.0,"['AVL', 'MEM', 'IND', 'GRR', 'TYS', 'VPS', 'LAS', 'ABQ', 'CVG', 'DSM', 'SFB', 'PIT']",13.725490196078432,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,American Airlines Inc.,2020,677,72,75.90277777777777,"['MIA', 'LAX', 'PHL', 'PHX', 'DFW', 'CLT', 'JFK', 'ORD']",10.635155096011816,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Delta Air Lines Inc.,2020,494,33,58.484848484848484,"['MSP', 'BOS', 'DTW', 'LAX', 'ATL', 'SLC', 'SEA', 'JFK']",6.680161943319838,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Endeavor Air Inc.,2020,13,2,201.5,"['RDU', 'CVG']",15.384615384615385,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Envoy Air,2020,5,1,28.0,['ORD'],20.0,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,ExpressJet Airlines LLC d/b/a aha!,2020,2,0,,['IAH'],0.0,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Frontier Airlines Inc.,2020,86,9,56.888888888888886,"['SAN', 'LAS', 'SFO', 'DEN', 'ONT', 'MCO', 'SLC', 'IAD', 'MSY']",10.465116279069768,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,JetBlue Airways,2020,136,10,58.2,"['BOS', 'EWR', 'LAX', 'MCO', 'FLL', 'LGB', 'JFK']",7.352941176470589,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AUS,Mesa Airlines Inc.,2020,113,9,41.888888888888886,"['IAD', 'IAH']",7.964601769911504,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
