ORIGIN,AIRLINE,Year,flights,delayed,avg_delay,connections,pct_delayed,AIRPORT,ORIGIN_CITY,STATE,LATITUDE,LONGITUDE
ABE,Allegiant Air,2021,131,24,63.625,"['SAV', 'BNA', 'PIE', 'FLL', 'SFB', 'MYR', 'PGD', 'SRQ']",18.3206106870229,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Endeavor Air Inc.,2021,167,25,97.24,"['ATL', 'DTW']",14.97005988023952,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Envoy Air,2021,43,7,23.285714285714285,['ORD'],16.27906976744186,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,PSA Airlines Inc.,2021,119,6,74.16666666666667,['CLT'],5.042016806722689,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,SkyWest Airlines Inc.,2021,10,0,,['ORD'],0.0,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABI,Envoy Air,2021,197,33,64.0909090909091,['DFW'],16.751269035532996,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABI,SkyWest Airlines Inc.,2021,51,6,174.0,['IAH'],11.76470588235294,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABQ,Alaska Airlines Inc.,2021,38,3,29.0,['SEA'],7.894736842105263,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Allegiant Air,2021,13,5,22.8,"['LAS', 'AUS']",38.46153846153847,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,American Airlines Inc.,2021,186,23,85.3913043478261,"['ORD', 'PHX', 'DFW']",12.365591397849462,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Delta Air Lines Inc.,2021,68,8,70.875,"['SLC', 'ATL', 'MSP']",11.76470588235294,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Envoy Air,2021,117,13,61.46153846153846,"['DFW', 'PHX', 'ORD']",11.11111111111111,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Frontier Airlines Inc.,2021,16,4,39.75,['DEN'],25.0,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Horizon Air,2021,19,1,182.0,['PDX'],5.263157894736842,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,JetBlue Airways,2021,18,5,26.8,['JFK'],27.77777777777778,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Mesa Airlines Inc.,2021,141,22,71.45454545454545,"['IAH', 'PHX', 'DFW']",15.602836879432624,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Republic Airline,2021,29,3,29.666666666666668,['ORD'],10.344827586206897,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,SkyWest Airlines Inc.,2021,412,55,77.10909090909091,"['PDX', 'SFO', 'DEN', 'LAX', 'PHX', 'SLC', 'IAH', 'ORD']",13.349514563106796,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Southwest Airlines Co.,2021,627,127,53.83464566929134,"['OAK', 'SAN', 'BWI', 'LAS', 'DEN', 'AUS', 'MDW', 'LAX', 'HOU', 'DAL', 'PHX', 'SAT']",20.25518341307815,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,United Air Lines Inc.,2021,36,4,53.25,"['DEN', 'IAH', 'ORD']",11.11111111111111,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABR,SkyWest Airlines Inc.,2021,48,3,122.66666666666667,['MSP'],6.25,Aberdeen Regional,Aberdeen,SD,45.44905556,-98.42183333
ABY,Endeavor Air Inc.,2021,102,4,41.75,['ATL'],3.9215686274509802,Southwest Georgia Regional,Albany,GA,31.535515,-84.19447333
ACK,Endeavor Air Inc.,2021,19,2,17.5,['JFK'],10.526315789473683,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,JetBlue Airways,2021,107,22,102.18181818181819,"['LGA', 'BOS', 'EWR', 'HPN', 'DCA', 'JFK']",20.5607476635514,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACK,Republic Airline,2021,28,4,52.0,"['LGA', 'PHL', 'CLT', 'DCA', 'ORD']",14.285714285714285,Nantucket Memorial,Nantucket,MA,41.25305194,-70.06018139
ACT,Envoy Air,2021,140,18,78.83333333333333,['DFW'],12.857142857142856,Waco Regional,Waco,TX,31.61128833,-97.23051917
ACV,SkyWest Airlines Inc.,2021,177,26,85.23076923076923,"['LAX', 'SFO', 'DEN', 'PHX']",14.689265536723164,Arcata,Arcata/Eureka,CA,40.97811528,-124.1086189
ACY,Spirit Air Lines,2021,328,59,63.11864406779661,"['PBI', 'TPA', 'MIA', 'RSW', 'ATL', 'MCO', 'FLL', 'MYR', 'SJU']",17.98780487804878,Atlantic City International,Atlantic City,NJ,39.45758333,-74.57716667
ADK,Alaska Airlines Inc.,2021,8,5,45.6,"['ANC', 'CDB']",62.5,Adak,Adak,AK,51.87796389,-176.6460306
ADQ,Alaska Airlines Inc.,2021,107,19,38.05263157894737,['ANC'],17.75700934579439,Kodiak,Kodiak,AK,57.74996778,-152.4938553
AEX,Endeavor Air Inc.,2021,100,3,64.0,['ATL'],3.0,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,Envoy Air,2021,115,21,64.95238095238095,['DFW'],18.26086956521739,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AEX,PSA Airlines Inc.,2021,25,0,,['CLT'],0.0,Alexandria International,Alexandria,LA,31.32737167,-92.54855611
AGS,Delta Air Lines Inc.,2021,29,3,24.666666666666668,['ATL'],10.344827586206897,Bush,Augusta,GA,33.369955,-81.96449611
AGS,Endeavor Air Inc.,2021,223,20,77.55,['ATL'],8.968609865470851,Bush,Augusta,GA,33.369955,-81.96449611
AGS,Envoy Air,2021,23,2,40.0,['DFW'],8.695652173913043,Bush,Augusta,GA,33.369955,-81.96449611
